"game_id","ref1","ref2","ref3","ref4","ref5","ref6","ref7"
"401671634",Dino Paganelli,Dyrol Prioleau,Boris Cheek,Shawn Smith,Robin DeLorenzo,Alex Moore,Jay Bilbo
"401671877",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671877",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671725",Carl Cheffers,Jeff Seeman,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Brandon Cruse
"401671725",Carl Cheffers,Jeff Seeman,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Brandon Cruse
"401671842",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Daniel Gallagher,Lo van Pham
"401671842",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Daniel Gallagher,Lo van Pham
"401671698",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671698",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671875",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671875",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671870",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671870",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671866",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671866",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671847",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671847",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671638",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671638",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671715",Carl Paganelli,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671715",Carl Paganelli,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671651",Dino Paganelli,Dyrol Prioleau,Boris Cheek,Shawn Smith,Robin DeLorenzo,Alex Moore,Jay Bilbo
"401671651",Dino Paganelli,Dyrol Prioleau,Boris Cheek,Shawn Smith,Robin DeLorenzo,Alex Moore,Jay Bilbo
"401671858",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671858",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671656",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671656",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671768",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Daniel Gallagher,Jeff Shears
"401671768",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Daniel Gallagher,Jeff Shears
"401671775",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671775",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671794",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671794",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
